Inicio:             2015-11-17 17:54:08
Porcentaje de acierto (VAL)   95.43, 17 Epocas 
Porcentaje de acierto (VAL)   95.33, 18 Epocas 
Porcentaje de acierto (VAL)   95.15, 19 Epocas 
Porcentaje de acierto (VAL)   95.22, 20 Epocas 
[5|10]. Porcentaje de acierto (TRAIN) 97.92 
[5|10]. Porcentaje de acierto (TEST)  96.11 
Porcentaje de acierto (VAL)   91.17, 1 Epocas 
Porcentaje de acierto (VAL)   92.04, 2 Epocas 
Porcentaje de acierto (VAL)   92.80, 3 Epocas 
Porcentaje de acierto (VAL)   93.48, 4 Epocas 
Porcentaje de acierto (VAL)   93.25, 5 Epocas 
Porcentaje de acierto (VAL)   92.61, 6 Epocas 
Porcentaje de acierto (VAL)   93.62, 7 Epocas 
Porcentaje de acierto (VAL)   93.96, 8 Epocas 
Porcentaje de acierto (VAL)   94.04, 9 Epocas 
Porcentaje de acierto (VAL)   93.76, 10 Epocas 
Porcentaje de acierto (VAL)   94.13, 11 Epocas 
Porcentaje de acierto (VAL)   94.58, 12 Epocas 
Porcentaje de acierto (VAL)   94.19, 13 Epocas 
Porcentaje de acierto (VAL)   94.58, 14 Epocas 
Porcentaje de acierto (VAL)   94.10, 15 Epocas 
Porcentaje de acierto (VAL)   94.21, 16 Epocas 
Porcentaje de acierto (VAL)   94.72, 17 Epocas 
Porcentaje de acierto (VAL)   94.64, 18 Epocas 
Porcentaje de acierto (VAL)   94.86, 19 Epocas 
Porcentaje de acierto (VAL)   94.21, 20 Epocas 
[6|10]. Porcentaje de acierto (TRAIN) 97.95 
[6|10]. Porcentaje de acierto (TEST)  95.51 
Porcentaje de acierto (VAL)   88.86, 1 Epocas 
Porcentaje de acierto (VAL)   90.62, 2 Epocas 
Porcentaje de acierto (VAL)   91.15, 3 Epocas 
Porcentaje de acierto (VAL)   92.41, 4 Epocas 
Porcentaje de acierto (VAL)   92.94, 5 Epocas 
Porcentaje de acierto (VAL)   93.51, 6 Epocas 
Porcentaje de acierto (VAL)   93.48, 7 Epocas 
Porcentaje de acierto (VAL)   93.76, 8 Epocas 
Porcentaje de acierto (VAL)   93.98, 9 Epocas 
Porcentaje de acierto (VAL)   93.57, 10 Epocas 
Porcentaje de acierto (VAL)   93.51, 11 Epocas 
Porcentaje de acierto (VAL)   93.29, 12 Epocas 
Porcentaje de acierto (VAL)   94.23, 13 Epocas 
Porcentaje de acierto (VAL)   94.04, 14 Epocas 
Porcentaje de acierto (VAL)   93.88, 15 Epocas 
Porcentaje de acierto (VAL)   94.35, 16 Epocas 
Porcentaje de acierto (VAL)   93.44, 17 Epocas 
Porcentaje de acierto (VAL)   94.07, 18 Epocas 
Porcentaje de acierto (VAL)   94.13, 19 Epocas 
Porcentaje de acierto (VAL)   93.60, 20 Epocas 
[7|10]. Porcentaje de acierto (TRAIN) 97.73 
[7|10]. Porcentaje de acierto (TEST)  95.21 
Porcentaje de acierto (VAL)   89.65, 1 Epocas 
Porcentaje de acierto (VAL)   91.43, 2 Epocas 
Porcentaje de acierto (VAL)   92.51, 3 Epocas 
Porcentaje de acierto (VAL)   93.52, 4 Epocas 
Porcentaje de acierto (VAL)   93.94, 5 Epocas 
Porcentaje de acierto (VAL)   94.00, 6 Epocas 
Porcentaje de acierto (VAL)   94.81, 7 Epocas 
Porcentaje de acierto (VAL)   94.56, 8 Epocas 
Porcentaje de acierto (VAL)   93.94, 9 Epocas 
Porcentaje de acierto (VAL)   94.74, 10 Epocas 
Porcentaje de acierto (VAL)   95.09, 11 Epocas 
Porcentaje de acierto (VAL)   94.42, 12 Epocas 
Porcentaje de acierto (VAL)   94.77, 13 Epocas 
Porcentaje de acierto (VAL)   94.88, 14 Epocas 
Porcentaje de acierto (VAL)   94.67, 15 Epocas 
Porcentaje de acierto (VAL)   95.19, 16 Epocas 
Porcentaje de acierto (VAL)   95.16, 17 Epocas 
Porcentaje de acierto (VAL)   94.84, 18 Epocas 
Porcentaje de acierto (VAL)   94.91, 19 Epocas 
Porcentaje de acierto (VAL)   94.56, 20 Epocas 
[8|10]. Porcentaje de acierto (TRAIN) 97.81 
[8|10]. Porcentaje de acierto (TEST)  95.13 
Porcentaje de acierto (VAL)   90.94, 1 Epocas 
Porcentaje de acierto (VAL)   93.11, 2 Epocas 
Porcentaje de acierto (VAL)   94.62, 3 Epocas 
Porcentaje de acierto (VAL)   94.19, 4 Epocas 
Porcentaje de acierto (VAL)   93.92, 5 Epocas 
Porcentaje de acierto (VAL)   95.39, 6 Epocas 
Porcentaje de acierto (VAL)   94.89, 7 Epocas 
Porcentaje de acierto (VAL)   94.77, 8 Epocas 
Porcentaje de acierto (VAL)   95.08, 9 Epocas 
Porcentaje de acierto (VAL)   95.32, 10 Epocas 
Porcentaje de acierto (VAL)   95.20, 11 Epocas 
Porcentaje de acierto (VAL)   95.74, 12 Epocas 
Porcentaje de acierto (VAL)   95.39, 13 Epocas 
Porcentaje de acierto (VAL)   95.78, 14 Epocas 
Porcentaje de acierto (VAL)   95.51, 15 Epocas 
Porcentaje de acierto (VAL)   95.70, 16 Epocas 
Porcentaje de acierto (VAL)   95.59, 17 Epocas 
Porcentaje de acierto (VAL)   95.82, 18 Epocas 
Porcentaje de acierto (VAL)   96.05, 19 Epocas 
Porcentaje de acierto (VAL)   95.90, 20 Epocas 
[9|10]. Porcentaje de acierto (TRAIN) 98.47 
[9|10]. Porcentaje de acierto (TEST)  95.39 
Porcentaje de acierto (VAL)   94.49, 1 Epocas 
Porcentaje de acierto (VAL)   94.88, 2 Epocas 
Porcentaje de acierto (VAL)   95.57, 3 Epocas 
Porcentaje de acierto (VAL)   96.17, 4 Epocas 
Porcentaje de acierto (VAL)   95.87, 5 Epocas 
Porcentaje de acierto (VAL)   95.83, 6 Epocas 
Porcentaje de acierto (VAL)   95.96, 7 Epocas 
Porcentaje de acierto (VAL)   96.69, 8 Epocas 
Porcentaje de acierto (VAL)   96.47, 9 Epocas 
Porcentaje de acierto (VAL)   96.86, 10 Epocas 
Porcentaje de acierto (VAL)   96.26, 11 Epocas 
Porcentaje de acierto (VAL)   96.39, 12 Epocas 
Porcentaje de acierto (VAL)   96.39, 13 Epocas 
Porcentaje de acierto (VAL)   96.47, 14 Epocas 
Porcentaje de acierto (VAL)   96.64, 15 Epocas 
Porcentaje de acierto (VAL)   95.87, 16 Epocas 
Porcentaje de acierto (VAL)   96.56, 17 Epocas 
Porcentaje de acierto (VAL)   96.51, 18 Epocas 
Porcentaje de acierto (VAL)   96.51, 19 Epocas 
Porcentaje de acierto (VAL)   96.94, 20 Epocas 
[10|10]. Porcentaje de acierto (TRAIN) 98.28 
[10|10]. Porcentaje de acierto (TEST)  94.94 
Fin del entrenamiento... 3626.88 seg
-------------------------------------------------------
Fin:                2015-11-17 18:54:37
Tiempo total: 3626.88 seg (60.45 min - 1.01 hr)
Entrenamiento: 20 Epocas
Mejor arquitectura: [ 40 100 10 ]
Datos de Ent. / Val. / Prueba (10 conjuntos): 54000 / 6000 / 10000
Promedios:
ENTRENAMIENTO: 97.88 % (stdev 0.32)
PRUEBA: 95.59 % (stdev 0.45)
